,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,307","7,291","8,587","8,296","3,599","5,589","5,386","4,349","2,643","4,933","4,346","4,918","2,449"
Expenses +,"2,946","6,698","8,142","7,626","3,491","4,956","4,771","3,720","2,477","4,181","3,556","4,140","2,285"
Operating Profit,361,593,444,670,108,633,615,628,166,752,790,778,163
OPM %,11%,8%,5%,8%,3%,11%,11%,14%,6%,15%,18%,16%,7%
Other Income +,74,42,123,23,41,14,90,151,73,86,80,95,86
Interest,27,48,85,120,67,55,46,36,36,40,1,7,0
Depreciation,75,76,78,78,76,77,78,79,78,82,83,83,82
Profit before tax,333,511,404,495,6,516,581,664,126,716,786,783,168
Tax %,27%,33%,32%,34%,"-1,371%",34%,34%,31%,23%,37%,32%,32%,22%
Net Profit +,244,342,274,324,94,339,381,459,97,448,536,534,130
EPS in Rs,5.85,8.21,6.59,7.79,2.26,8.14,9.15,11.04,2.42,11.19,13.39,13.34,3.25
Raw PDF,,,,,,,,,,,,,
