,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,305.46,246.38,130.16,147.69,84.29,119.60,98.58,87.11,117.56,107.37,102.63,94.91,89.85
Expenses +,464.97,266.25,210.80,214.67,298.71,163.79,162.24,157.88,174.02,165.67,79.58,57.25,104.04
Operating Profit,-159.51,-19.87,-80.64,-66.98,-214.42,-44.19,-63.66,-70.77,-56.46,-58.30,23.05,37.66,-14.19
OPM %,-52.22%,-8.06%,-61.95%,-45.35%,-254.38%,-36.95%,-64.58%,-81.24%,-48.03%,-54.30%,22.46%,39.68%,-15.79%
Other Income +,17.13,28.29,52.77,20.22,29.93,5.09,14.21,20.43,16.77,21.55,10.60,14.22,45.74
Interest,61.76,58.83,42.26,34.98,29.98,25.72,24.24,22.48,20.74,18.31,17.38,15.42,13.08
Depreciation,27.45,28.65,27.63,17.46,17.11,18.24,15.75,14.30,14.45,12.84,5.99,5.63,5.68
Profit before tax,-231.59,-79.06,-97.76,-99.20,-231.58,-83.06,-89.44,-87.12,-74.88,-67.90,10.28,30.83,12.79
Tax %,5.53%,31.44%,-10.70%,-6.78%,-14.66%,13.80%,17.33%,2.70%,13.53%,22.75%,59.14%,83.10%,50.82%
Net Profit +,-244.39,-103.91,-87.29,-92.47,-197.64,-94.52,-104.94,-89.46,-85.01,-83.35,4.19,5.22,6.29
EPS in Rs,-4.13,-1.69,-1.46,-1.56,-3.25,-1.57,-1.75,-1.48,-1.42,-1.37,0.26,0.08,0.12
Raw PDF,,,,,,,,,,,,,
