,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,966,"1,281","1,536","1,176",892,"1,017","1,177","1,686","1,880"
Expenses +,821,"1,098","1,386","1,093",849,945,"1,125","1,539","1,801"
Operating Profit,146,183,150,83,43,71,51,147,79
OPM %,15%,14%,10%,7%,5%,7%,4%,9%,4%
Other Income +,18,15,26,35,82,62,158,150,278
Interest,60,92,145,140,155,170,161,152,150
Depreciation,29,30,51,46,36,28,31,68,98
Profit before tax,75,75,-21,-67,-67,-64,17,77,110
Tax %,52%,54%,165%,48%,23%,10%,121%,8%,
Net Profit +,39,33,-54,-99,-82,-70,-3,71,79
EPS in Rs,0.27,0.29,-0.35,-0.64,-0.16,-0.13,0.00,0.37,0.51
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
