,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,148,253,248,290,338,311,315,374,418,361,377,458,522
Expenses +,117,151,163,176,186,201,189,208,235,221,228,253,281
Operating Profit,31,102,85,113,152,110,126,166,183,140,150,205,241
OPM %,21%,40%,34%,39%,45%,35%,40%,44%,44%,39%,40%,45%,46%
Other Income +,4,6,4,93,-11,4,4,6,6,8,6,7,15
Interest,36,39,38,37,41,45,50,48,53,32,34,45,48
Depreciation,30,30,30,28,30,31,35,35,37,39,42,48,50
Profit before tax,-30,39,21,141,71,37,44,89,99,78,79,118,159
Tax %,-62%,27%,26%,27%,49%,-138%,18%,20%,17%,22%,274%,18%,22%
Net Profit +,-11,29,16,102,37,89,36,71,82,61,-139,97,124
EPS in Rs,-0.56,1.39,0.77,4.99,1.79,4.32,1.77,3.44,4.01,2.78,-6.35,4.42,5.67
Raw PDF,,,,,,,,,,,,,
