,Mar 2013,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,33,78,288,310,306,408,539,641,848
Expenses +,21,52,215,230,201,286,394,504,652
Operating Profit,12,26,73,80,105,122,145,136,196
OPM %,36%,33%,25%,26%,34%,30%,27%,21%,23%
Other Income +,0,1,8,19,21,44,56,74,69
Interest,0,1,3,3,3,3,3,3,7
Depreciation,0,2,7,7,7,8,9,10,29
Profit before tax,12,24,70,90,116,154,189,197,229
Tax %,34%,29%,15%,19%,21%,16%,18%,19%,24%
Net Profit +,8,17,60,73,91,130,155,159,173
EPS in Rs,9.72,21.48,73.85,89.79,112.43,6.46,7.59,7.70,8.44
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%
