,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,852,787,798,868,"1,009","1,046","1,162","1,480","1,450","1,577","1,990","2,348","2,684"
Expenses +,801,751,750,810,935,966,"1,053","1,342","1,243","1,361","1,731","2,072","2,384"
Operating Profit,51,36,49,58,74,80,109,138,207,216,258,275,300
OPM %,6%,5%,6%,7%,7%,8%,9%,9%,14%,14%,13%,12%,11%
Other Income +,5,5,4,7,12,21,34,36,31,42,42,45,52
Interest,17,15,17,17,21,22,21,19,15,13,12,15,13
Depreciation,12,11,12,13,12,13,20,24,28,28,29,36,43
Profit before tax,26,15,24,35,54,66,102,131,195,217,259,269,296
Tax %,44%,68%,52%,51%,46%,40%,35%,28%,27%,26%,25%,27%,
Net Profit +,15,5,11,17,29,40,66,94,143,162,195,195,217
EPS in Rs,1.04,0.31,0.67,1.05,2.07,2.74,4.45,6.38,9.81,11.10,13.41,13.37,14.81
Dividend Payout %,18%,62%,43%,28%,16%,12%,10%,9%,10%,9%,9%,11%,
