,Jun 2014,Jun 2015,"Mar 2016
            
              9m",Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,048",932,840,998,"1,026","1,061",888,939,"1,129",928,821,969
Expenses +,851,775,689,799,811,907,695,696,938,942,899,902
Operating Profit,197,157,151,198,216,154,193,244,192,-14,-77,67
OPM %,19%,17%,18%,20%,21%,15%,22%,26%,17%,-1%,-9%,7%
Other Income +,8,7,-59,2,22,27,12,6,11,19,19,-82
Interest,14,27,22,64,72,57,78,73,82,238,284,228
Depreciation,148,106,54,73,72,71,62,64,64,93,107,218
Profit before tax,44,31,16,63,93,53,65,113,57,-326,-449,-462
Tax %,-14%,0%,2%,0%,0%,0%,0%,31%,28%,0%,0%,8%
Net Profit +,50,31,16,63,93,53,65,78,41,-326,-449,-498
EPS in Rs,2.25,1.39,0.73,2.87,3.72,2.10,2.60,3.12,1.62,-12.61,-17.37,-19.29
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
