,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,167,160,106,110,92,97,84,76,61,256,74,73,74
Expenses +,170,164,96,124,93,122,71,83,68,"1,022",756,314,354
Operating Profit,-4,-4,10,-14,-2,-25,14,-7,-7,-766,-682,-241,-280
OPM %,-2%,-2%,9%,-12%,-2%,-26%,16%,-9%,-12%,-300%,-918%,-331%,-380%
Other Income +,51,7,6,7,6,67,7,5,10,17,10,7,31
Interest,260,264,"1,186",636,668,673,721,744,789,835,534,532,469
Depreciation,2,1,2,2,1,2,2,2,2,1,2,2,2
Profit before tax,-214,-263,"-1,171",-644,-665,-633,-702,-747,-788,"-1,586","-1,208",-768,-720
Tax %,0%,5%,0%,-0%,-0%,-1%,0%,-0%,0%,-1%,-0%,-0%,-0%
Net Profit +,-214,-307,"-1,172",-641,-663,-627,-703,-744,-788,"-1,572","-1,206",-767,-717
EPS in Rs,-0.81,-1.16,-4.47,-2.07,-2.12,-2.00,-2.25,-2.40,-2.54,-5.52,-4.11,-2.41,-2.21
Raw PDF,,,,,,,,,,,,,
