,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,211,190,172,170,248,454,622,"1,091","1,138","1,370"
Expenses +,135,129,123,154,255,415,536,989,"1,040","1,283"
Operating Profit,76,61,49,15,-7,39,86,102,99,86
OPM %,36%,32%,28%,9%,-3%,9%,14%,9%,9%,6%
Other Income +,8,12,-26,16,15,14,24,47,65,92
Interest,0,0,2,1,1,1,1,6,8,6
Depreciation,1,1,8,20,26,36,39,57,67,93
Profit before tax,83,72,13,11,-20,17,70,87,89,79
Tax %,22%,15%,92%,38%,37%,18%,27%,29%,16%,
Net Profit +,65,61,1,7,-27,14,51,61,75,54
EPS in Rs,161.30,152.58,0.50,3.19,-0.38,1.51,4.36,5.95,7.39,10.53
Dividend Payout %,31%,0%,0%,0%,0%,0%,0%,0%,0%,
