,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,220,216,271,207,177,251,235,304,229,217,278,338,270
Expenses +,180,189,233,198,165,224,198,246,210,188,233,284,233
Operating Profit,40,27,38,9,11,26,37,58,19,29,45,54,37
OPM %,18%,13%,14%,4%,6%,10%,16%,19%,8%,13%,16%,16%,14%
Other Income +,-0,7,4,17,5,2,2,6,7,8,5,16,2
Interest,1,0,0,0,2,2,2,2,3,4,4,2,2
Depreciation,8,8,8,5,12,16,12,13,16,19,20,21,20
Profit before tax,31,26,34,21,2,10,25,49,7,13,26,48,17
Tax %,-11%,26%,25%,23%,-41%,37%,25%,24%,24%,28%,29%,25%,34%
Net Profit +,35,19,25,16,3,6,19,37,5,9,18,35,11
EPS in Rs,3.02,1.69,2.20,1.39,0.28,0.63,1.62,3.25,0.44,0.78,1.53,2.97,0.93
Raw PDF,,,,,,,,,,,,,
