,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,196,181,187,219,200,202,261,259,260,420,414,487,604
Expenses +,175,162,173,202,180,175,233,233,246,366,351,406,511
Operating Profit,21,19,14,17,20,27,28,26,13,54,63,81,93
OPM %,11%,11%,8%,8%,10%,13%,11%,10%,5%,13%,15%,17%,15%
Other Income +,11,19,10,5,21,-22,19,49,12,16,27,63,13
Interest,7,5,6,6,8,10,12,13,14,18,21,29,27
Depreciation,5,5,5,5,5,5,5,5,6,6,6,6,7
Profit before tax,19,28,14,11,30,-9,30,58,6,46,64,109,72
Tax %,22%,24%,12%,37%,25%,20%,24%,15%,101%,35%,23%,23%,34%
Net Profit +,15,21,12,7,22,-11,23,49,-10,24,48,83,57
EPS in Rs,0.57,0.83,0.46,0.25,0.85,-0.44,0.89,1.91,-0.38,0.80,1.59,2.73,1.86
Raw PDF,,,,,,,,,,,,,
