,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,681,709,695,655,748,693,813,732,832,810,828,821,908
Expenses +,634,665,655,621,697,646,743,673,755,733,752,745,816
Operating Profit,47,43,40,34,51,47,70,60,77,77,76,76,93
OPM %,7%,6%,6%,5%,7%,7%,9%,8%,9%,10%,9%,9%,10%
Other Income +,2,2,4,8,6,2,3,7,4,3,6,5,6
Interest,2,1,2,2,2,2,3,4,4,3,2,3,3
Depreciation,27,27,28,28,28,27,29,28,32,31,32,32,34
Profit before tax,21,18,15,12,26,20,42,34,45,47,49,46,62
Tax %,20%,34%,33%,33%,31%,32%,36%,21%,32%,26%,25%,28%,25%
Net Profit +,17,12,10,8,18,14,27,27,30,35,36,33,46
EPS in Rs,2.55,1.79,1.49,1.27,2.80,2.08,4.10,4.12,4.66,5.36,5.58,5.05,7.08
Raw PDF,,,,,,,,,,,,,
