,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,264,311,320,326,308,311,435,365,406,688,533,603,730
Expenses +,242,287,298,295,280,285,379,320,328,558,429,488,583
Operating Profit,23,25,22,32,28,26,56,45,78,130,104,115,147
OPM %,9%,8%,7%,10%,9%,8%,13%,12%,19%,19%,20%,19%,20%
Other Income +,10,6,13,15,8,11,18,22,23,25,21,14,20
Interest,4,4,3,2,3,2,3,2,1,1,0,0,0
Depreciation,2,2,3,3,3,3,3,2,4,5,7,6,6
Profit before tax,26,24,28,42,31,33,68,62,97,149,117,122,161
Tax %,27%,27%,23%,21%,34%,38%,32%,27%,31%,29%,27%,26%,
Net Profit +,19,18,22,33,21,20,46,45,67,106,85,91,112
EPS in Rs,1.50,1.37,1.70,2.61,1.68,1.62,4.32,4.23,5.50,9.65,7.75,8.50,10.46
Dividend Payout %,20%,18%,18%,19%,24%,19%,14%,31%,29%,12%,26%,14%,
