,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,219","1,409","1,628","1,363","1,374","1,348","1,487","1,657","1,929","2,144","2,163","2,010","2,087"
Expenses +,"1,084","1,214","1,439","1,200","1,190","1,137","1,249","1,378","1,619","1,785","1,800","1,693","1,790"
Operating Profit,134,195,189,163,184,211,238,279,310,358,364,317,298
OPM %,11%,14%,12%,12%,13%,16%,16%,17%,16%,17%,17%,16%,14%
Other Income +,12,12,4,9,17,4,3,7,23,11,6,11,20
Interest,7,9,11,15,19,19,21,32,108,121,119,118,103
Depreciation,30,37,33,33,34,41,48,53,75,84,86,87,88
Profit before tax,109,161,149,124,148,154,172,201,149,164,164,124,126
Tax %,19%,21%,22%,22%,31%,29%,28%,26%,26%,28%,25%,25%,21%
Net Profit +,88,126,116,97,102,109,123,148,111,118,123,93,100
EPS in Rs,2.34,3.34,3.08,2.57,2.71,2.89,3.25,3.92,2.95,3.13,3.27,2.47,2.65
Raw PDF,,,,,,,,,,,,,
