,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,805,"1,040","1,029",921,936,"1,184","1,313","1,352","1,295","1,911","1,985","2,182","2,486"
Expenses +,683,905,894,770,790,"1,010","1,116","1,148","1,092","1,519","1,581","1,783","2,097"
Operating Profit,121,135,135,151,146,175,198,204,203,392,403,399,389
OPM %,15%,13%,13%,16%,16%,15%,15%,15%,16%,21%,20%,18%,16%
Other Income +,23,27,15,32,41,47,37,45,68,52,54,80,96
Interest,8,5,9,10,19,23,32,37,29,21,28,40,46
Depreciation,30,27,32,26,24,29,38,52,68,63,64,68,96
Profit before tax,107,130,109,147,144,170,164,159,175,360,366,372,342
Tax %,31%,31%,31%,32%,30%,29%,27%,21%,23%,24%,24%,25%,
Net Profit +,74,90,75,100,101,120,119,126,134,274,278,279,254
EPS in Rs,23.55,28.43,23.85,38.17,39.14,48.84,47.73,50.18,53.19,109.31,116.32,115.06,106.75
Dividend Payout %,13%,18%,21%,8%,0%,0%,0%,0%,0%,0%,0%,0%,
