,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,692,818,815,793,842,880,818,790,868,805,624,689,765
Expenses +,626,708,768,748,792,713,747,691,818,728,573,627,667
Operating Profit,67,110,47,45,50,167,71,99,50,77,51,62,98
OPM %,10%,13%,6%,6%,6%,19%,9%,12%,6%,10%,8%,9%,13%
Other Income +,39,43,28,65,26,45,94,44,30,51,39,47,38
Interest,0,0,0,0,0,0,1,0,1,1,1,1,1
Depreciation,8,5,5,7,7,7,8,8,8,11,10,10,10
Profit before tax,97,147,69,103,69,204,156,134,71,117,79,99,126
Tax %,27%,17%,26%,17%,27%,23%,25%,24%,26%,23%,26%,22%,25%
Net Profit +,41,79,65,75,16,190,139,127,63,116,92,100,109
EPS in Rs,0.72,1.41,1.15,1.34,0.29,3.38,2.47,2.27,1.13,2.06,1.63,1.77,1.93
Raw PDF,,,,,,,,,,,,,
