,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,128,78,59,48,26,49,265,202,114,156,558,749,667
Expenses +,61,103,68,45,24,18,77,77,59,77,245,440,424
Operating Profit,67,-25,-9,3,1,31,188,125,55,78,312,309,243
OPM %,52%,-32%,-16%,6%,5%,63%,71%,62%,48%,50%,56%,41%,36%
Other Income +,-564,6,"-1,156",20,48,16,15,48,27,-23,-3,52,56
Interest,11,14,15,5,0,1,2,6,6,9,38,32,23
Depreciation,88,103,39,12,10,8,44,29,23,26,74,80,76
Profit before tax,-595,-136,"-1,219",6,40,38,157,137,52,20,197,248,200
Tax %,-7%,-9%,0%,11%,10%,0%,0%,-0%,-3%,-2%,2%,9%,
Net Profit +,-553,-124,"-1,220",5,36,38,157,138,53,20,194,226,167
EPS in Rs,-42.35,-9.48,-93.46,0.38,2.76,2.88,12.01,10.40,4.04,1.51,14.67,17.12,12.61
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
