,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,108.23,75.90,41.28,120.30,81.61,65.22,55.60,31.11,105.79,120.32,98.94,92.46,96.75
Expenses +,157.91,70.44,15.51,90.42,69.03,41.28,34.43,23.38,260.79,105.96,38.41,59.57,88.30
Operating Profit,-49.68,5.46,25.77,29.88,12.58,23.94,21.17,7.73,-155.00,14.36,60.53,32.89,8.45
OPM %,-45.90%,7.19%,62.43%,24.84%,15.41%,36.71%,38.08%,24.85%,-146.52%,11.93%,61.18%,35.57%,8.73%
Other Income +,10.21,3.87,4.52,4.32,4.20,4.48,4.97,10.50,84.36,5.68,40.37,27.82,44.01
Interest,38.40,20.55,34.34,24.01,15.16,32.13,14.97,11.15,16.16,14.28,64.55,37.27,18.82
Depreciation,0.92,0.93,0.68,0.78,0.80,0.75,0.76,0.75,0.75,0.72,0.65,0.64,0.65
Profit before tax,-78.79,-12.15,-4.73,9.41,0.82,-4.46,10.41,6.33,-87.55,5.04,35.70,22.80,32.99
Tax %,7.02%,27.57%,-714.38%,-19.87%,-3.66%,-104.04%,24.21%,19.43%,1.80%,-20.04%,18.32%,30.70%,87.33%
Net Profit +,-84.14,-17.14,28.74,14.16,4.74,-1.18,2.52,2.60,-90.11,4.59,19.20,20.24,1.89
EPS in Rs,-11.45,-2.36,4.09,1.52,0.64,-0.19,0.34,0.28,-11.08,0.68,1.29,1.61,0.27
Raw PDF,,,,,,,,,,,,,
