,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,863,"1,106","1,205","1,401","1,282","1,329","1,593","1,708","1,864","2,201","2,302","2,539","2,760"
Expenses +,784,974,"1,075","1,232","1,093","1,139","1,386","1,460","1,574","1,923","2,088","2,220","2,387"
Operating Profit,80,133,131,170,189,191,207,248,290,278,213,318,373
OPM %,9%,12%,11%,12%,15%,14%,13%,15%,16%,13%,9%,13%,14%
Other Income +,7,2,23,14,25,15,81,22,7,5,5,332,-26
Interest,34,43,41,37,30,25,19,16,20,23,44,39,36
Depreciation,26,37,42,48,49,58,66,74,87,89,114,141,145
Profit before tax,26,55,72,99,136,123,203,180,190,171,60,471,167
Tax %,15%,37%,24%,29%,25%,31%,33%,20%,26%,24%,25%,24%,
Net Profit +,22,35,54,70,101,85,135,145,141,130,45,357,118
EPS in Rs,3.19,5.08,7.86,10.10,14.64,12.24,19.52,20.88,20.38,18.77,6.47,51.63,17.02
Dividend Payout %,39%,30%,22%,30%,24%,29%,31%,30%,29%,27%,23%,9%,
