,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,324,367,406,450,482,547,567,599,463,698,"1,058","1,125","1,215"
Expenses +,287,327,367,391,425,499,494,521,428,599,892,904,970
Operating Profit,37,40,39,58,57,48,73,79,36,99,166,221,245
OPM %,11%,11%,10%,13%,12%,9%,13%,13%,8%,14%,16%,20%,20%
Other Income +,7,2,3,1,3,6,10,10,16,8,10,12,17
Interest,25,25,26,21,16,15,14,17,21,19,16,18,14
Depreciation,11,13,13,14,15,16,17,24,23,24,30,35,41
Profit before tax,8,4,4,24,29,23,52,48,8,64,131,180,207
Tax %,39%,36%,36%,40%,35%,32%,36%,14%,40%,30%,26%,19%,
Net Profit +,5,2,2,15,19,16,33,41,5,45,96,146,156
EPS in Rs,7.00,3.20,3.39,20.53,26.52,21.79,46.41,57.57,6.44,62.19,133.96,203.05,216.99
Dividend Payout %,21%,31%,29%,6%,5%,6%,3%,0%,0%,2%,1%,1%,
