,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"6,529","5,666","7,146","11,326","9,914","6,860","7,026","9,059","7,770","5,557","6,747","9,330","8,720"
Expenses +,"5,915","5,050","6,453","10,378","9,013","6,245","6,363","8,006","7,358","5,098","6,279","8,372","8,027"
Operating Profit,613,616,693,948,901,615,664,"1,053",412,459,468,959,694
OPM %,9%,11%,10%,8%,9%,9%,9%,12%,5%,8%,7%,10%,8%
Other Income +,29,91,105,30,-59,5,-11,151,41,123,60,69,117
Interest,38,38,45,79,87,87,82,74,53,86,84,94,99
Depreciation,84,88,88,92,91,105,94,101,112,113,117,123,130
Profit before tax,521,581,665,807,664,428,477,"1,029",288,382,327,811,582
Tax %,24%,26%,26%,30%,27%,33%,32%,24%,25%,23%,31%,27%,29%
Net Profit +,395,429,494,565,482,287,325,782,217,294,226,592,416
EPS in Rs,12.85,17.05,15.57,13.60,14.13,10.08,6.13,25.48,6.66,12.41,5.14,17.21,10.97
Raw PDF,,,,,,,,,,,,,
