,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,601.76,627.15,554.16,528.38,528.02,691.18,608.11,600.68,565.75,764.25,633.62,696.09,666.43
Expenses +,527.88,541.07,512.74,485.51,486.38,606.46,538.23,535.10,503.88,645.17,553.05,601.60,587.44
Operating Profit,73.88,86.08,41.42,42.87,41.64,84.72,69.88,65.58,61.87,119.08,80.57,94.49,78.99
OPM %,12.28%,13.73%,7.47%,8.11%,7.89%,12.26%,11.49%,10.92%,10.94%,15.58%,12.72%,13.57%,11.85%
Other Income +,1.56,1.71,0.84,1.42,0.99,1.54,319.24,5.69,4.28,2.99,3.50,-6.19,-26.34
Interest,4.81,5.46,6.06,9.34,11.02,15.05,10.31,9.63,8.58,8.38,7.03,8.88,11.41
Depreciation,21.87,24.80,25.80,26.95,30.91,30.56,34.60,35.42,35.48,35.67,35.93,36.61,36.55
Profit before tax,48.76,57.53,10.40,8.00,0.70,40.65,344.21,26.22,22.09,78.02,41.11,42.81,4.69
Tax %,25.39%,22.37%,31.92%,43.25%,17.14%,19.85%,22.44%,31.88%,33.91%,25.61%,28.39%,30.13%,89.13%
Net Profit +,36.38,44.66,7.08,4.54,0.58,32.57,266.96,17.86,14.59,58.03,29.43,29.90,0.51
EPS in Rs,5.26,6.45,1.02,0.66,0.08,4.70,38.56,2.58,2.11,8.38,4.25,4.32,0.07
Raw PDF,,,,,,,,,,,,,
