,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,429,417,277,242,204,222,227,231,160,269,265,173,179
Expenses +,381,392,285,249,221,227,226,240,180,264,248,178,223
Operating Profit,49,25,-9,-7,-17,-5,2,-10,-21,5,17,-5,-44
OPM %,11%,6%,-3%,-3%,-8%,-2%,1%,-4%,-13%,2%,6%,-3%,-25%
Other Income +,0,1,0,0,0,3,1,2,8,6,1,3,92
Interest,1,1,1,1,2,2,4,5,6,8,6,18,50
Depreciation,13,12,12,12,12,12,12,12,11,12,12,11,11
Profit before tax,35,12,-22,-20,-31,-16,-13,-26,-30,-9,1,-31,-14
Tax %,30%,23%,21%,28%,10%,15%,18%,5%,-3%,89%,376%,-3%,1%
Net Profit +,106,91,54,61,54,-61,-3,19,135,-10,78,80,177
EPS in Rs,26.51,17.56,10.32,11.70,10.42,-11.86,-0.49,3.63,25.96,-1.85,15.08,15.49,31.80
Raw PDF,,,,,,,,,,,,,
