,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,232","5,143","7,557","7,225","7,005","6,448","3,623","3,546","4,082","5,878","4,697","3,926","4,992"
Expenses +,"2,088","4,720","6,896","6,244","6,316","5,821","3,172","2,874","2,975","4,443","4,335","3,925","4,787"
Operating Profit,144,422,662,980,689,627,451,671,"1,108","1,435",362,0,204
OPM %,6%,8%,9%,14%,10%,10%,12%,19%,27%,24%,8%,0%,4%
Other Income +,-0,-1,-113,7,91,47,-538,73,139,386,420,478,621
Interest,40,126,91,106,111,121,50,99,61,32,152,173,218
Depreciation,89,188,229,245,285,255,104,118,145,153,174,214,208
Profit before tax,15,107,228,636,385,298,-241,527,"1,040","1,636",455,91,399
Tax %,59%,38%,20%,28%,30%,49%,70%,7%,24%,27%,30%,21%,
Net Profit +,6,67,182,456,269,152,-409,489,791,"1,196",319,72,270
EPS in Rs,1.42,18.60,41.01,80.45,42.79,19.45,-93.30,111.56,180.57,273.11,72.83,16.32,61.63
Dividend Payout %,71%,5%,3%,1%,2%,5%,-1%,1%,1%,2%,6%,34%,
