,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,395.76,404.53,250.08,270.45,435.09,634.66,668.10,720.06,618.73,875.27,464.98,480.59,531.71
Expenses +,350.05,354.13,201.61,215.09,371.90,542.25,568.48,605.09,504.33,779.47,363.16,407.89,431.11
Operating Profit,45.71,50.40,48.47,55.36,63.19,92.41,99.62,114.97,114.40,95.80,101.82,72.70,100.60
OPM %,11.55%,12.46%,19.38%,20.47%,14.52%,14.56%,14.91%,15.97%,18.49%,10.95%,21.90%,15.13%,18.92%
Other Income +,3.42,1.84,2.07,2.42,1.89,7.55,6.32,15.83,26.69,52.77,31.27,149.92,18.81
Interest,59.37,68.00,74.73,75.53,78.00,84.29,76.79,73.74,74.98,81.92,80.73,84.81,86.74
Depreciation,9.62,11.17,13.24,13.28,13.20,18.27,21.25,15.68,22.16,19.56,17.71,17.95,20.76
Profit before tax,-19.86,-26.93,-37.43,-31.03,-26.12,-2.60,7.90,41.38,43.95,47.09,34.65,119.86,11.91
Tax %,7.65%,8.73%,-3.85%,6.70%,9.23%,265.00%,172.78%,39.56%,30.35%,13.04%,33.30%,5.46%,63.31%
Net Profit +,-21.39,-29.28,-36.00,-33.11,-28.54,-9.48,-5.74,25.02,30.60,40.95,23.12,113.30,4.37
EPS in Rs,-9.60,-12.89,-15.16,-13.50,-13.20,-7.81,-5.81,1.60,5.31,12.67,3.75,31.23,-3.10
Raw PDF,,,,,,,,,,,,,
