,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,684,675,746,723,765,829,885,890,918,913,984,974,"1,014"
Expenses +,623,623,690,657,697,756,804,801,820,827,885,879,910
Operating Profit,60,52,57,65,68,73,81,89,98,86,99,95,104
OPM %,9%,8%,8%,9%,9%,9%,9%,10%,11%,9%,10%,10%,10%
Other Income +,1,3,3,2,8,3,4,3,5,7,7,5,10
Interest,6,7,8,9,11,11,13,13,14,14,14,14,15
Depreciation,27,29,29,31,33,35,37,40,42,41,42,44,44
Profit before tax,28,19,23,27,32,30,35,39,46,37,50,42,56
Tax %,38%,32%,28%,27%,22%,27%,22%,34%,23%,22%,20%,28%,23%
Net Profit +,18,13,16,20,25,22,28,25,36,29,40,30,43
EPS in Rs,2.91,2.11,2.70,3.27,4.04,3.55,4.54,4.19,5.96,4.83,6.65,4.98,7.08
Raw PDF,,,,,,,,,,,,,
