,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,131","2,347","2,291","2,491","2,491","2,591","2,660","2,732","2,745","2,859","2,889","2,809","2,959"
Expenses +,"1,570","1,635","1,612","1,767","1,764","1,800","1,835","1,863","1,862","1,955","1,950","1,895","1,995"
Operating Profit,561,712,679,724,727,791,825,869,883,904,939,914,964
OPM %,26%,30%,30%,29%,29%,31%,31%,32%,32%,32%,32%,33%,33%
Other Income +,-429,30,16,-10,9,34,26,55,31,24,-16,33,-42
Interest,57,55,69,102,107,103,91,80,80,75,64,57,56
Depreciation,162,155,163,193,196,191,201,213,203,197,198,199,201
Profit before tax,-87,532,463,419,433,531,559,631,631,656,661,691,665
Tax %,36%,33%,33%,30%,34%,29%,31%,30%,29%,30%,31%,27%,25%
Net Profit +,-118,354,312,292,287,378,386,443,449,457,453,503,498
EPS in Rs,-3.49,10.46,9.22,8.63,8.48,11.17,11.41,13.09,13.27,13.50,13.39,14.86,14.71
Raw PDF,,,,,,,,,,,,,
