,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,648","2,678","2,768","2,904","2,996","2,977","3,074","3,073","3,138","3,130","3,269","3,363","3,428"
Expenses +,"2,524","2,557","2,658","2,778","2,861","2,838","2,929","2,922","3,054","2,992","3,124","3,206","3,263"
Operating Profit,124,121,110,126,135,139,144,151,84,137,145,157,165
OPM %,5%,5%,4%,4%,4%,5%,5%,5%,3%,4%,4%,5%,5%
Other Income +,9,7,10,4,21,14,19,12,22,19,14,39,-283
Interest,25,25,28,31,32,33,35,40,40,42,40,41,38
Depreciation,30,29,33,34,39,36,40,42,49,43,42,41,38
Profit before tax,79,75,59,66,85,85,88,82,17,71,76,114,-194
Tax %,-23%,-11%,-14%,-58%,-9%,-6%,15%,55%,168%,10%,9%,11%,15%
Net Profit +,97,83,67,103,93,90,75,37,-12,64,69,102,-223
EPS in Rs,6.60,5.61,4.58,7.03,6.39,6.14,5.17,2.53,-0.81,4.46,4.77,7.08,-15.47
Raw PDF,,,,,,,,,,,,,
