,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,905","3,808","4,309","4,150","5,995","6,742","4,685","5,808","7,663","11,319","8,697","10,274"
Expenses +,"3,387","3,512","3,952","3,676","5,451","6,285","4,221","4,848","6,307","9,135","7,389","8,350"
Operating Profit,517,297,358,474,544,457,465,961,"1,356","2,184","1,307","1,925"
OPM %,13%,8%,8%,11%,9%,7%,10%,17%,18%,19%,15%,19%
Other Income +,35,37,71,13,23,54,95,27,44,66,102,81
Interest,101,111,130,121,173,229,243,188,155,195,404,413
Depreciation,114,124,122,135,163,171,214,212,233,239,334,403
Profit before tax,337,98,177,230,230,110,103,588,"1,013","1,816",672,"1,189"
Tax %,29%,32%,34%,33%,29%,33%,14%,31%,32%,33%,32%,21%
Net Profit +,240,67,116,155,164,73,89,406,687,"1,221",457,945
EPS in Rs,23.72,6.71,11.47,15.22,16.04,6.97,8.50,38.99,56.24,95.86,35.05,73.95
Dividend Payout %,24%,52%,38%,34%,33%,37%,31%,19%,16%,10%,24%,14%
