,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,490,490,490,490,734,696,696,696,696,696,696,696
Reserves,"32,681","33,717","31,825","31,899","31,601","30,208","27,964","25,287","25,810","23,682","23,742","24,026"
Borrowings +,"4,693","1,889",211,156,110,"2,598","5,080","4,951","4,830","5,454","8,856","9,015"
Other Liabilities +,"37,468","34,887","33,051","29,153","31,495","30,987","26,550","25,025","25,654","27,832","26,493","34,346"
Total Liabilities,"75,331","70,983","65,577","61,698","63,940","64,490","60,291","55,960","56,991","57,664","59,788","68,083"
Fixed Assets +,"4,729","4,230","3,969","3,601","3,073","2,970","2,817","2,491","2,398","2,476","2,574","2,981"
CWIP,"2,931","2,614",318,168,203,235,314,420,431,354,308,162
Investments,6,6,796,757,429,152,162,185,205,235,256,276
Other Assets +,"67,665","64,134","60,494","57,171","60,235","61,132","56,998","52,864","53,956","54,599","56,650","64,665"
Total Assets,"75,331","70,983","65,577","61,698","63,940","64,490","60,291","55,960","56,991","57,664","59,788","68,083"
