,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,58,58,58,58,58,58,58,60,297,297,297,297
Reserves,"2,008","2,238","2,705","3,124","3,506","4,071","4,875","6,796","8,268","10,030","11,182","12,329"
Borrowings +,"2,175","2,435","2,515","2,396","3,142","3,730","4,135","3,469","3,655","4,478","5,031","4,726"
Other Liabilities +,"1,227","1,152","1,146","1,389","1,657","2,028","1,795","2,586","3,544","3,931","3,945","4,205"
Total Liabilities,"5,469","5,883","6,424","6,968","8,363","9,888","10,862","12,911","15,765","18,736","20,454","21,557"
Fixed Assets +,"3,551","3,922","4,113","4,405","5,122","5,609","6,368","7,827","8,425","10,050","13,242","13,720"
CWIP,112,104,117,259,559,754,"1,393",772,"1,672","2,406",805,811
Investments,37,94,165,196,122,101,203,417,321,494,527,827
Other Assets +,"1,769","1,762","2,029","2,109","2,561","3,424","2,899","3,895","5,347","5,786","5,881","6,199"
Total Assets,"5,469","5,883","6,424","6,968","8,363","9,888","10,862","12,911","15,765","18,736","20,454","21,557"
