,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,111,111,111,111,110,110,110,110,110,110,110,110
Reserves,"2,969","3,639","4,084","4,698","5,539","6,149","6,567","7,620","8,685","9,810","10,968","13,087"
Borrowing,"17,828","18,795","18,758","20,216","21,069","25,023","35,939","36,461","36,356","42,694","52,334","61,084"
Other Liabilities +,"3,005","3,241","5,095","5,724","7,268","2,388","2,105","2,369","3,003","3,462",864,"1,056"
Total Liabilities,"23,914","25,785","28,048","30,749","33,986","33,671","44,721","46,560","48,154","56,076","64,276","75,337"
Fixed Assets +,559,515,817,862,821,451,903,865,"1,117","1,296","1,389","1,451"
CWIP,3,2,4,3,3,0,0,0,0,1,5,0
Investments,"2,450","2,731","4,026","4,815","8,693","4,539","5,096","6,057","8,088","8,082","5,732","6,481"
Other Assets +,"20,903","22,537","23,201","25,070","24,469","28,680","38,722","39,638","38,950","46,697","57,150","67,405"
Total Assets,"23,914","25,785","28,048","30,749","33,986","33,671","44,721","46,560","48,154","56,076","64,276","75,337"
