,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,33,33,33,33,33,33,33,33,33,33,33,33
Reserves,"1,786","2,069","2,778","3,274","3,872","4,077","4,247","4,960","5,466","5,419","5,787","6,480"
Borrowings +,264,122,271,171,142,315,219,261,361,651,744,892
Other Liabilities +,"2,660","2,662","2,788","2,991","3,249","3,091","3,657","3,402","3,874","4,171","5,430","5,747"
Total Liabilities,"4,744","4,886","5,869","6,469","7,296","7,515","8,156","8,655","9,734","10,274","11,994","13,152"
Fixed Assets +,288,269,276,300,297,343,380,388,384,525,548,973
CWIP,2,4,1,1,4,16,26,9,59,98,368,82
Investments,732,"1,094","1,975","2,268","2,754","2,386","2,343","3,046","3,615","3,109","3,508","3,243"
Other Assets +,"3,721","3,519","3,617","3,901","4,242","4,771","5,406","5,212","5,676","6,542","7,571","8,853"
Total Assets,"4,744","4,886","5,869","6,469","7,296","7,515","8,156","8,655","9,734","10,274","11,994","13,152"
