,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,29,29,31,31,31,31,31,36,36,36,36,72
Reserves,"1,695","1,645","1,997","2,119","2,821","3,443","3,678","5,003","6,547","8,344","9,422","10,377"
Borrowings +,"3,406","3,402","3,889","3,626","3,666","4,244","4,308","4,063","3,982","4,259","4,639","4,687"
Other Liabilities +,"1,630","1,565","1,507","1,233","1,979","2,398","2,528","2,288","3,765","4,787","5,051","6,396"
Total Liabilities,"6,760","6,641","7,424","7,008","8,497","10,116","10,545","11,389","14,330","17,426","19,148","21,531"
Fixed Assets +,"4,170","4,130","4,548","4,500","5,668","6,522","6,453","7,207","7,508","10,964","13,137","14,466"
CWIP,235,214,195,328,503,896,"1,534","1,274","2,049","2,295","1,503","3,143"
Investments,354,200,161,410,829,745,590,576,"2,317","1,282","1,725","1,465"
Other Assets +,"2,001","2,097","2,520","1,770","1,498","1,952","1,968","2,333","2,456","2,884","2,782","2,457"
Total Assets,"6,760","6,641","7,424","7,008","8,497","10,116","10,545","11,389","14,330","17,426","19,148","21,531"
