,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"12,116","12,708","13,130","13,735","13,718","13,159","12,864","13,101","12,871","13,006","13,313","13,286","13,384"
Expenses +,"10,028","10,828","11,185","11,600","11,915","11,821","11,950","11,955","11,772","11,441","11,563","11,477","11,545"
Operating Profit,"2,088","1,880","1,944","2,135","1,803","1,338",914,"1,146","1,099","1,564","1,750","1,809","1,839"
OPM %,17%,15%,15%,16%,13%,10%,7%,9%,9%,12%,13%,14%,14%
Other Income +,324,122,290,247,306,200,264,92,380,147,522,23,173
Interest,55,40,79,113,93,120,98,116,58,72,89,76,85
Depreciation,484,477,492,498,490,447,466,443,461,462,470,459,462
Profit before tax,"1,873","1,486","1,664","1,771","1,525",971,615,679,959,"1,178","1,714","1,297","1,464"
Tax %,18%,23%,22%,27%,26%,28%,18%,23%,31%,27%,27%,24%,22%
Net Profit +,"1,545","1,148","1,299","1,285","1,125",704,505,524,664,865,"1,258",989,"1,142"
EPS in Rs,15.49,11.64,13.21,13.32,11.47,7.10,5.06,5.23,6.77,8.71,12.78,10.05,11.92
Raw PDF,,,,,,,,,,,,,
