,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,0.10,268,269,269,270,270,271,272
Reserves,-0,691,780,938,"1,040","1,381","1,875","2,640"
Borrowings +,0,132,204,230,227,287,329,345
Other Liabilities +,0,582,384,531,799,"1,402","1,624","1,776"
Total Liabilities,0,"1,674","1,637","1,968","2,336","3,341","4,098","5,033"
Fixed Assets +,0,420,526,577,641,"1,684","1,915","1,972"
CWIP,0,1,5,12,0,33,58,9
Investments,0,50,9,127,129,64,94,432
Other Assets +,0,"1,204","1,096","1,251","1,566","1,559","2,030","2,620"
Total Assets,0,"1,674","1,637","1,968","2,336","3,341","4,098","5,033"
