,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,111,111,111,111,111,111,111,111,111,111,111,111,111
Reserves,"10,234","11,888","13,282","15,182","17,707","25,090","26,841","27,652","37,056","42,731","44,071","54,136","59,712"
Borrowings +,0,0,0,0,0,0,0,168,136,114,93,63,47
Other Liabilities +,430,449,500,178,71,68,56,"4,797","8,186","10,632","8,913","10,851","12,662"
Total Liabilities,"10,775","12,448","13,893","15,472","17,889","25,269","27,008","32,729","45,490","53,588","53,188","65,161","72,533"
Fixed Assets +,532,532,544,544,222,215,193,374,342,310,278,244,227
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"9,577","11,325","13,078","13,276","17,364","24,575","26,257","32,068","44,914","52,964","52,555","64,715","71,252"
Other Assets +,666,592,271,"1,651",302,478,558,287,234,314,355,203,"1,054"
Total Assets,"10,775","12,448","13,893","15,472","17,889","25,269","27,008","32,729","45,490","53,588","53,188","65,161","72,533"
