,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,350,350,375,375,375,375,375,401,401,401,401,401,431
Reserves,"2,392","2,629","3,446","3,825","4,040","4,358","3,852","4,959","7,600","8,694","9,574","10,888","16,121"
Borrowings +,"2,539","3,154","4,071","5,374","5,739","7,416","8,487","9,272","4,898","7,412","9,420","13,458","12,351"
Other Liabilities +,"2,375","3,208","4,463","6,886","6,676","6,754","15,720","14,844","12,201","13,664","16,876","23,227","25,652"
Total Liabilities,"7,656","9,342","12,355","16,460","16,830","18,902","28,433","29,476","25,100","30,171","36,271","47,974","54,556"
Fixed Assets +,"2,030","2,377","3,010",932,"3,622","5,135","6,732","8,986","3,780","5,858","6,780","8,669","9,323"
CWIP,912,995,776,982,"1,795","2,508","1,645","2,143","2,740","1,725","2,399","2,137","2,059"
Investments,175,289,279,"3,296",355,435,778,789,907,772,"1,023","1,279","1,380"
Other Assets +,"4,539","5,680","8,291","11,250","11,058","10,825","19,277","17,558","17,672","21,816","26,069","35,889","41,793"
Total Assets,"7,656","9,342","12,355","16,460","16,830","18,902","28,433","29,476","25,100","30,171","36,271","47,974","54,556"
