,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,485","3,113","3,674","4,905","5,688","6,401","7,357","8,344","8,865","10,634","11,599","12,668","12,757"
Expenses +,"2,123","2,700","3,248","4,038","4,687","5,392","6,237","6,868","6,920","8,580","9,977","10,419","10,234"
Operating Profit,362,413,427,866,"1,001","1,009","1,120","1,476","1,945","2,054","1,622","2,249","2,523"
OPM %,15%,13%,12%,18%,18%,16%,15%,18%,22%,19%,14%,18%,20%
Other Income +,167,162,176,227,110,115,82,102,230,146,101,186,423
Interest,88,93,81,71,45,55,55,65,59,52,107,112,120
Depreciation,40,52,71,93,101,143,193,253,275,304,310,299,328
Profit before tax,402,430,451,928,965,926,955,"1,260","1,842","1,844","1,305","2,023","2,498"
Tax %,4%,-1%,13%,19%,6%,31%,19%,9%,12%,9%,23%,10%,
Net Profit +,384,435,392,752,905,638,774,"1,149","1,618","1,680","1,007","1,811","2,197"
EPS in Rs,321.01,364.10,32.75,62.02,74.61,52.77,63.61,94.26,132.57,137.63,82.31,150.19,180.09
Dividend Payout %,6%,5%,12%,20%,20%,25%,25%,27%,23%,25%,61%,27%,
