,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,"9,918","11,956","11,956","11,956","12,540"
Reserves,"12,598","11,513","13,648","15,258","18,345"
Deposits,"205,919","224,073","249,338","263,130","293,542"
Borrowing,"15,383","13,508","20,501","25,331","28,687"
Other Liabilities +,"9,428","6,609","5,260","7,873","9,247"
Total Liabilities,"253,246","267,659","300,702","323,548","362,361"
Fixed Assets +,"3,151","3,287","3,444","3,717","3,852"
CWIP,67,48,65,65,0
Investments,"93,693","96,749","95,009","92,761","94,153"
Other Assets +,"156,335","167,575","202,184","227,006","264,357"
Total Assets,"253,246","267,659","300,702","323,548","362,361"
