,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,355,498,742,"1,004","1,005","1,064","1,064","1,064","1,702","1,843","2,454","2,722","2,731"
Reserves,547,-879,"-8,064","-8,537","-7,846","-8,031","-9,562","-12,047","-5,045","-5,369","-1,355","1,199","1,764"
Borrowings +,"15,191","17,059","17,811","11,414","11,114","11,996","11,552","13,210","6,925","6,465","1,938",150,277
Other Liabilities +,"13,113","13,583","11,243","5,842","7,887","6,092","5,816","4,303","3,019","3,535","2,486","3,108","4,877"
Total Liabilities,"29,206","30,261","21,731","9,723","12,160","11,121","8,871","6,530","6,601","6,475","5,523","7,179","9,649"
Fixed Assets +,"12,076","13,515","5,843","1,573","1,665","1,463","1,520","1,358","1,166","1,059",866,886,"1,764"
CWIP,306,433,356,233,206,353,229,122,107,20,6,20,29
Investments,36,707,266,393,670,67,20,20,23,0,0,8,0
Other Assets +,"16,788","15,606","15,266","7,524","9,619","9,237","7,102","5,030","5,305","5,396","4,651","6,264","7,855"
Total Assets,"29,206","30,261","21,731","9,723","12,160","11,121","8,871","6,530","6,601","6,475","5,523","7,179","9,649"
