,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,14,14,14,14,14,14,14,15,15,15,15,15
Reserves,681,883,"1,157","1,613","1,911","2,272","2,605","5,327","6,105","7,183","8,716","10,142"
Borrowings +,122,115,151,120,83,49,519,373,316,46,191,184
Other Liabilities +,501,622,626,554,618,820,"1,087","1,287","1,354","1,235","1,822","1,936"
Total Liabilities,"1,318","1,633","1,949","2,301","2,626","3,155","4,225","7,002","7,791","8,480","10,744","12,277"
Fixed Assets +,527,533,874,945,998,"1,186","1,858","2,138","2,452","2,606","3,528","4,375"
CWIP,42,133,71,77,90,183,271,288,114,132,278,384
Investments,1,1,0,83,161,129,150,872,900,"1,016","1,336","1,531"
Other Assets +,748,967,"1,003","1,196","1,378","1,657","1,946","3,704","4,325","4,726","5,601","5,986"
Total Assets,"1,318","1,633","1,949","2,301","2,626","3,155","4,225","7,002","7,791","8,480","10,744","12,277"
