,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,207,207,241,240,240,240,240,240,240,240,240,240
Reserves,"18,318","25,431","32,742","36,400","38,074","41,169","45,025","46,223","47,771","55,755","63,427","71,978"
Borrowings +,"2,561","8,996","8,497","9,832","10,385","10,514","8,315","3,869","1,290","6,886","3,274","2,362"
Other Liabilities +,"8,009","14,089","13,948","14,624","15,598","12,666","14,615","17,291","20,474","17,831","18,367","17,520"
Total Liabilities,"29,095","48,723","55,428","61,095","64,297","64,590","68,194","67,622","69,776","80,712","85,308","92,101"
Fixed Assets +,"6,817","12,682","15,872","17,675","18,853","21,837","22,847","21,553","22,665","24,065","23,211","27,996"
CWIP,842,"2,039","2,175","2,801","2,465","1,411","1,220","1,567","1,287","4,973","5,354","1,234"
Investments,"2,786","2,716","1,830","1,192","7,143","7,903","10,143","9,612","12,849","14,824","15,026","18,354"
Other Assets +,"18,650","31,286","35,550","39,427","35,837","33,439","33,984","34,890","32,975","36,849","41,717","44,517"
Total Assets,"29,095","48,723","55,428","61,095","64,297","64,590","68,194","67,622","69,776","80,712","85,308","92,101"
