Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales+,"3,552","3,358","3,664","3,674","4,563","4,707","5,379","6,184","5,830","6,375","6,819","6,596","6,730"
Expenses+,"2,074","2,154","2,395","2,324","3,092","3,141","3,728","4,469","4,170","4,335","5,009","4,640","4,734"
Operating Profit,"1,478","1,203","1,269","1,350","1,471","1,566","1,651","1,715","1,661","2,040","1,811","1,955","1,995"
OPM %,42%,36%,35%,37%,32%,33%,31%,28%,28%,32%,27%,30%,30%
Other Income+,230,502,108,93,262,204,"-1,395",176,170,222,206,171,215
Interest,697,630,616,641,760,750,811,813,809,826,894,872,913
Depreciation,410,416,419,432,458,468,498,484,462,462,465,509,496
Profit before tax,600,660,343,370,515,552,"-1,053",594,559,974,658,746,801
Tax %,20%,33%,47%,23%,32%,31%,13%,-30%,-12%,27%,18%,25%,28%
Net Profit+,478,440,182,284,348,381,"-1,191",773,625,714,539,557,574
EPS in Rs,4.26,3.49,1.57,2.47,2.91,3.24,-7.39,5.62,4.68,5.39,4.27,4.44,4.60
Raw PDF,,,,,,,,,,,,,
