,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,28,31,48,42,34,34,37,40,63,42,46,56
Expenses +,20,21,35,33,25,27,33,28,32,31,35,43
Operating Profit,9,10,13,9,9,7,4,12,31,10,11,13
OPM %,30%,33%,28%,22%,25%,20%,12%,30%,49%,25%,24%,24%
Other Income +,0,0,0,0,0,0,0,1,3,6,4,5
Interest,0,0,0,0,0,0,0,0,1,1,0,1
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,8,9,13,8,8,6,4,12,32,14,14,16
Tax %,24%,24%,25%,23%,25%,24%,32%,24%,26%,29%,21%,28%
Net Profit +,6,7,10,6,6,4,2,9,24,10,11,12
EPS in Rs,0.22,0.27,0.36,0.24,0.22,0.17,0.09,0.33,0.89,0.37,0.41,0.43
Raw PDF,,,,,,,,,,,,
