,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,977","2,579","2,324","2,500","3,034","3,357","2,735","2,317","2,868","2,651","3,294","3,768"
Expenses +,"2,774","2,455","2,149","2,263","2,712","2,941","2,433","2,026","2,599","2,346","2,879","3,257"
Operating Profit,203,124,175,237,322,416,303,291,269,305,415,511
OPM %,7%,5%,8%,9%,11%,12%,11%,13%,9%,12%,13%,14%
Other Income +,-174,-16,-47,7,23,17,24,15,260,54,30,61
Interest,150,163,139,127,125,143,97,83,70,100,121,164
Depreciation,91,89,69,72,73,76,78,80,80,94,101,115
Profit before tax,-212,-144,-81,45,147,213,153,143,379,165,223,292
Tax %,-24%,-38%,-30%,22%,34%,38%,25%,8%,10%,15%,23%,21%
Net Profit +,-161,-89,-57,35,97,133,115,132,340,141,173,231
EPS in Rs,-52.12,-28.63,-18.35,11.32,31.18,42.83,37.03,42.51,109.77,40.40,55.87,74.58
Dividend Payout %,-2%,0%,0%,9%,13%,14%,16%,14%,7%,19%,14%,13%
