,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,324,200,394,339,313,210,285,263,231,144,177,204,269
Expenses +,301,194,338,294,285,190,249,230,221,128,170,183,225
Operating Profit,23,6,56,45,28,20,35,33,10,16,7,21,43
OPM %,7%,3%,14%,13%,9%,10%,12%,13%,5%,11%,4%,10%,16%
Other Income +,3,6,6,3,-13,8,12,10,16,11,10,10,11
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,5,5,5,6,5,5,5,5,5,5,5,6
Profit before tax,21,7,57,43,9,23,42,38,21,22,11,26,49
Tax %,27%,25%,25%,26%,36%,26%,26%,25%,24%,26%,26%,26%,26%
Net Profit +,16,5,42,32,6,17,31,28,16,16,9,19,36
EPS in Rs,15.36,4.84,41.82,31.50,5.73,16.66,30.75,27.92,15.58,15.92,8.42,18.82,35.65
Raw PDF,,,,,,,,,,,,,
