,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,061","2,216","2,229","2,247","2,440","2,320","2,279","2,240","2,427","2,293","2,135","2,110","2,273"
Expenses +,"1,780","1,910","1,936","1,954","2,060","1,950","1,934","1,913","2,066","1,933","1,804","1,811","1,937"
Operating Profit,280,306,293,292,381,370,345,327,361,360,331,299,335
OPM %,14%,14%,13%,13%,16%,16%,15%,15%,15%,16%,15%,14%,15%
Other Income +,8,15,17,-790,75,108,209,18,52,32,27,40,37
Interest,4,0,11,8,24,22,31,30,22,21,17,18,13
Depreciation,72,75,73,77,83,83,78,78,86,84,80,81,86
Profit before tax,213,246,227,-582,349,372,445,237,304,287,260,240,273
Tax %,24%,23%,24%,13%,20%,19%,16%,29%,24%,24%,25%,23%,25%
Net Profit +,161,189,171,-658,279,302,375,169,230,217,195,185,206
EPS in Rs,4.26,4.98,4.52,-17.34,7.36,7.95,9.90,4.45,6.08,5.72,5.15,4.88,5.44
Raw PDF,,,,,,,,,,,,,
