Ticker,QoQ Net Profit Growth (%),QoQ Compared Quarters,YoY Net Profit Growth (%),YoY Compared Years,QoQ Revenue Growth (%),YoY Revenue Growth (%),Recovered from Harsh Condition,Error
IDEA,-8.25,"Sep 2024, Dec 2024",-10.65,"Mar 2024, TTM",1.69,1.2,Yes,None
SAMHI,150.0,"Sep 2024, Dec 2024",-112.02,"Mar 2024, TTM",11.28,13.9,Yes,None
NATIONALUM,32.31,"Dec 2024, Mar 2025",274.89,"Mar 2024, Mar 2025",13.0,27.68,Yes,None
SUZLON,96.72,"Sep 2024, Dec 2024",59.8,"Mar 2024, TTM",41.46,42.38,Yes,None
KAYNES,134.15,"Dec 2024, Mar 2025",46.46,"Mar 2024, Mar 2025",48.87,50.8,Yes,None
GENUSPOWER,120.0,"Sep 2024, Dec 2024",2250.0,"Mar 2024, TTM",24.02,60.28,Yes,None
NYKAA,150.0,"Sep 2024, Dec 2024",270.0,"Mar 2024, TTM",20.91,18.32,Yes,None
JUNIPER,-166.67,"Sep 2024, Dec 2024",153.33,"Mar 2024, TTM",17.21,11.49,Yes,None
UNICHEMLAB,0.0,"Dec 2024, Mar 2025",-334.09,"Mar 2024, Mar 2025",10.13,23.81,Yes,None
STAR,13.95,"Dec 2024, Mar 2025",28400.0,"Mar 2024, Mar 2025",3.12,12.69,Yes,None
ITDCEM,31.65,"Dec 2024, Mar 2025",50.95,"Mar 2024, Mar 2025",10.47,17.87,Yes,None
HATHWAY,-66.67,"Dec 2024, Mar 2025",-56.06,"Mar 2024, Mar 2025",0.39,2.98,Yes,None
AMBER,371.43,"Dec 2024, Mar 2025",108.24,"Mar 2024, Mar 2025",76.0,48.21,Yes,None
KIRLPNU,151.61,"Dec 2024, Mar 2025",972.22,"Mar 2016, Mar 2025",72.59,222.2,Yes,None
ZENTEC,323.81,"Dec 2024, Mar 2025",113.27,"Mar 2024, Mar 2025",113.82,121.36,Yes,None
IFBIND,50.0,"Sep 2024, Dec 2024",327.78,"Mar 2024, TTM",4.18,9.24,Yes,None
NEOGEN,78.69,"Dec 2024, Mar 2025",60.71,"Mar 2024, Mar 2025",0.69,12.59,Yes,None
PENIND,9.52,"Sep 2024, Dec 2024",31.03,"Mar 2024, TTM",12.3,0.42,Yes,None
BLACKBUCK,200.0,"Sep 2024, Dec 2024",-26.95,"Mar 2023, Mar 2024",15.15,68.75,Yes,None
RESPONIND,18.18,"Dec 2024, Mar 2025",33.57,"Mar 2024, Mar 2025",3.53,30.45,Yes,None
INDOTECH,23.08,"Dec 2024, Mar 2025",17.07,"Mar 2024, Mar 2025",16.38,21.43,Yes,None
SCI,212.9,"Dec 2024, Mar 2025",56.31,"Mar 2024, Mar 2025",0.68,11.08,Yes,None
IMAGICAA,-115.69,"Sep 2024, Dec 2024",400.0,"Mar 2024, TTM",129.82,43.08,Yes,None
KSL,53.49,"Dec 2024, Mar 2025",0.5,"Mar 2024, Mar 2025",12.4,1.17,Yes,None
ADANIGREEN,77.32,"Dec 2024, Mar 2025",-55950.0,"Mar 2024, Mar 2025",31.32,21.61,Yes,None
POLICYBZR,-350.0,"Dec 2024, Mar 2025",-69.72,"Mar 2024, Mar 2025",16.72,44.76,Yes,None
SCHNEIDER,91.11,"Sep 2024, Dec 2024",6.59,"Mar 2024, TTM",42.83,14.27,Yes,None
JUSTDIAL,47.06,"Dec 2023, Mar 2024",176.19,"Mar 2023, Mar 2024",1.89,23.43,Yes,None
EMBDL,-47.06,"Sep 2024, Dec 2024",-15.18,"Mar 2024, TTM",13.01,125.36,Yes,None
WEBELSOLAR,11.9,"Dec 2024, Mar 2025",-1490.91,"Mar 2024, Mar 2025",17.69,2111.54,Yes,None
JINDALPOLY,-97.93,"Sep 2024, Dec 2024",-13.55,"Mar 2024, TTM",4.59,27.15,Yes,None
AZAD,15.79,"Dec 2024, Mar 2025",181.48,"Mar 2024, Mar 2025",5.83,34.02,Yes,None
RAIN,-18.13,"Dec 2024, Mar 2025",-4.15,"Dec 2024, TTM",2.5,0.64,Yes,None
SHAKTIPUMP,6.0,"Dec 2024, Mar 2025",183.33,"Mar 2024, Mar 2025",2.47,83.52,Yes,None
GREAVESCOT,-3.41,"Dec 2024, Mar 2025",-35.05,"Mar 2024, Mar 2025",9.62,10.82,Yes,None
PPLPHARMA,-484.0,"Dec 2024, Mar 2025",-24.03,"Mar 2024, Mar 2025",24.95,11.99,Yes,None
SWSOLAR,466.67,"Dec 2024, Mar 2025",-115.54,"Mar 2024, Mar 2025",37.13,107.64,Yes,None
EUREKAFORB,38.71,"Dec 2024, Mar 2025",42.16,"Mar 2024, Mar 2025",2.51,11.33,Yes,None
PGEL,278.79,"Dec 2024, Mar 2025",105.69,"Mar 2024, Mar 2025",97.31,77.35,Yes,None
DCAL,-1666.67,"Dec 2024, Mar 2025",-99.43,"Mar 2024, Mar 2025",4.99,3.67,Yes,None
SUNFLAG,42.42,"Sep 2024, Dec 2024",7.35,"Mar 2024, TTM",3.0,4.6,Yes,None
RELIGARE,-300.0,"Dec 2024, Mar 2025",66.67,"Mar 2024, Mar 2025",21.88,17.36,Yes,None
GMRP&UI,-0.41,"Dec 2024, Mar 2025",-25.88,"Mar 2024, Mar 2025",7.82,41.32,Yes,None
ADANIENSOL,8.13,"Dec 2024, Mar 2025",198.97,"Mar 2024, Mar 2025",9.35,43.11,Yes,None
WELENT,77.42,"Dec 2024, Mar 2025",10.83,"Mar 2024, Mar 2025",17.76,24.79,Yes,None
TARIL,82.61,"Dec 2024, Mar 2025",341.46,"Mar 2024, Mar 2025",20.93,56.24,Yes,None
IXIGO,0.0,"Dec 2024, Mar 2025",8.82,"Mar 2024, Mar 2025",17.36,39.33,Yes,None
ACMESOLAR,25.37,"Dec 2024, Mar 2025",-151.52,"Mar 2024, Mar 2025",39.54,6.52,Yes,None
KOLTEPATIL,900.0,"Dec 2024, Mar 2025",-164.44,"Mar 2024, Mar 2025",105.43,25.24,Yes,None
MANINDS,89.29,"Dec 2024, Mar 2025",90.57,"Mar 2024, Mar 2025",66.39,11.55,Yes,None
PNBGILTS,-781.82,"Dec 2024, Mar 2025",255.38,"Mar 2024, Mar 2025",15.75,6.28,Yes,None
LEMONTREE,132.35,"Sep 2024, Dec 2024",26.04,"Mar 2024, TTM",25.0,15.31,Yes,None
PRIVISCL,16.67,"Dec 2024, Mar 2025",137.68,"Mar 2024, Mar 2025",25.05,19.92,Yes,None
ENTERO,40.0,"Sep 2024, Dec 2024",115.38,"Mar 2024, TTM",4.46,22.16,Yes,None
PEL,161.54,"Dec 2024, Mar 2025",-128.8,"Mar 2024, Mar 2025",1.03,1.58,Yes,None
BHEL,3733.33,"Dec 2024, Mar 2025",-103.07,"Mar 2024, Mar 2025",23.58,18.61,Yes,None
NIVABUPA,-1145.83,"Dec 2024, Mar 2025",-123.89,"Mar 2024, Mar 2025",32.83,28.07,Yes,None
ASHOKLEY,64.3,"Dec 2024, Mar 2025",13.53,"Mar 2024, Mar 2025",22.52,5.99,Yes,None
KIRLOSBROS,6.54,"Dec 2024, Mar 2025",24.56,"Mar 2024, Mar 2025",11.98,12.27,Yes,None
WAAREEENER,21.96,"Dec 2024, Mar 2025",119.2,"Mar 2024, Mar 2025",15.82,26.72,Yes,None
FIRSTCRY,-35.48,"Sep 2024, Dec 2024",-26.92,"Mar 2024, TTM",14.02,14.12,Yes,None
NEWGEN,16.05,"Dec 2024, Mar 2025",23.04,"Mar 2024, Mar 2025",12.86,19.53,Yes,None
DIACABS,61.78,"Sep 2024, Dec 2024",123.53,"Mar 2024, TTM",22.82,167.06,Yes,None
