,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,74,95,60,47,64,114,115,112,80,120,181,198,288
Expenses +,35,42,47,40,48,78,96,98,81,92,122,117,159
Operating Profit,39,53,13,7,16,36,19,13,-2,28,59,81,129
OPM %,53%,56%,21%,16%,25%,32%,17%,12%,-2%,23%,32%,41%,45%
Other Income +,1,-1,2,6,3,4,3,4,-30,-42,6,5,5
Interest,0,0,2,2,2,2,3,3,4,3,3,5,7
Depreciation,2,7,8,7,13,14,19,21,19,19,37,44,51
Profit before tax,38,45,5,5,5,24,0,-7,-54,-36,25,37,75
Tax %,13%,-1%,11%,6%,-41%,28%,"1,108%",-23%,-5%,11%,40%,42%,
Net Profit +,33,46,4,2,6,17,-4,-5,-52,-40,15,22,52
EPS in Rs,10.97,15.42,1.43,0.73,2.11,5.50,1.73,0.61,-13.75,4.28,5.05,5.58,13.15
Dividend Payout %,11%,8%,9%,17%,6%,2%,7%,0%,0%,0%,0%,0%,
