,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,227,205,213,205,250,220,274,243,264,274,306,350,348
Expenses +,197,177,187,172,206,182,227,203,222,225,251,289,283
Operating Profit,31,28,26,33,43,39,47,40,42,48,56,61,65
OPM %,13%,14%,12%,16%,17%,18%,17%,16%,16%,18%,18%,17%,19%
Other Income +,8,7,6,0,8,4,3,5,5,3,6,4,11
Interest,1,1,0,0,0,0,0,0,0,1,1,0,0
Depreciation,6,5,5,5,5,5,5,5,5,5,5,5,5
Profit before tax,33,28,27,29,46,37,45,40,41,46,56,60,70
Tax %,25%,24%,26%,30%,23%,28%,27%,25%,29%,23%,26%,25%,25%
Net Profit +,25,21,20,20,35,27,33,30,29,35,41,45,53
EPS in Rs,1.59,1.38,1.28,1.29,2.27,1.71,2.10,1.91,1.86,2.26,2.64,2.88,3.39
Raw PDF,,,,,,,,,,,,,
