,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,674","2,785","3,366","2,583","2,029","2,757","2,931","2,056","1,887","2,694","3,052","2,287","2,347"
Expenses +,"1,154","1,308","1,178","1,383","1,141","1,253","1,163","1,303",735,"1,085","1,253","1,265","1,257"
Operating Profit,520,"1,477","2,188","1,200",888,"1,505","1,768",752,"1,152","1,609","1,799","1,021","1,090"
OPM %,31%,53%,65%,46%,44%,55%,60%,37%,61%,60%,59%,45%,46%
Other Income +,462,255,383,111,425,292,261,587,623,431,454,365,379
Interest,134,137,107,120,111,109,116,133,365,237,302,656,-12
Depreciation,296,303,301,306,304,294,295,296,299,296,285,297,315
Profit before tax,553,"1,291","2,162",885,898,"1,394","1,618",909,"1,111","1,507","1,666",434,"1,167"
Tax %,7%,18%,22%,12%,17%,21%,-5%,31%,46%,26%,36%,24%,21%
Net Profit +,516,"1,054","1,686",776,745,"1,095","1,693",623,605,"1,108","1,060",330,920
EPS in Rs,0.47,1.03,1.53,0.67,0.65,1.03,1.54,0.48,0.54,1.02,0.90,0.23,0.85
Raw PDF,,,,,,,,,,,,,
