,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,699,739,780,792,866,912,937,856,741,785,805,801,807
Expenses +,628,641,661,674,772,782,795,742,651,697,712,706,723
Operating Profit,72,98,119,118,94,130,142,114,90,89,93,96,83
OPM %,10%,13%,15%,15%,11%,14%,15%,13%,12%,11%,12%,12%,10%
Other Income +,1,28,19,-32,15,9,9,-8,11,10,-1,26,-52
Interest,2,16,9,21,21,20,22,23,30,25,26,25,27
Depreciation,27,27,28,30,36,38,36,36,39,32,36,35,38
Profit before tax,44,83,101,35,51,80,93,47,31,41,30,62,-34
Tax %,60%,26%,4%,46%,35%,38%,27%,40%,18%,42%,50%,35%,-18%
Net Profit +,17,61,97,19,33,50,67,28,25,24,15,40,-28
EPS in Rs,3.65,10.14,14.45,4.15,7.86,11.27,15.19,6.43,6.15,5.62,3.39,9.23,-5.99
Raw PDF,,,,,,,,,,,,,
