,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales +,280,358,333,437,280,253,256,249,152,307,268
Expenses +,169,211,178,274,169,170,201,242,104,301,192
Operating Profit,111,146,155,163,111,83,55,6,48,7,76
OPM %,40%,41%,46%,37%,40%,33%,22%,3%,32%,2%,28%
Other Income +,49,45,47,51,49,53,45,34,-24,26,19
Interest,0,0,0,0,0,0,0,0,0,0,0
Depreciation,19,16,17,20,19,32,26,19,22,24,25
Profit before tax,140,176,185,194,140,104,74,22,2,9,70
Tax %,35%,40%,35%,28%,35%,15%,25%,38%,11%,15%,27%
Net Profit +,91,105,120,140,91,89,55,13,2,7,51
EPS in Rs,3.52,4.08,4.67,5.42,3.52,3.44,2.15,0.57,0.08,0.31,2.16
Raw PDF,,,,,,,,,,,
