,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,182.46,177.24,193.47,148.88,151.97,150.31,141.09,129.87,172.03,172.87,163.90,148.91,182.81
Expenses +,157.57,147.54,157.80,125.71,125.53,124.85,120.45,107.59,140.88,151.12,135.87,122.03,149.94
Operating Profit,24.89,29.70,35.67,23.17,26.44,25.46,20.64,22.28,31.15,21.75,28.03,26.88,32.87
OPM %,13.64%,16.76%,18.44%,15.56%,17.40%,16.94%,14.63%,17.16%,18.11%,12.58%,17.10%,18.05%,17.98%
Other Income +,2.87,4.10,1.69,3.75,1.51,1.36,2.40,3.61,0.30,1.95,3.45,0.64,2.72
Interest,3.11,3.95,3.92,3.95,3.76,2.97,3.88,3.55,4.47,14.02,14.23,16.38,14.58
Depreciation,5.22,4.88,5.04,5.19,4.73,3.87,3.87,3.91,3.97,11.72,12.35,13.01,12.98
Profit before tax,19.43,24.97,28.40,17.78,19.46,19.98,15.29,18.43,23.01,-2.04,4.90,-1.87,8.03
Tax %,31.45%,22.43%,21.30%,41.17%,19.42%,25.98%,23.74%,26.53%,22.03%,20.59%,11.02%,-56.15%,37.36%
Net Profit +,13.32,19.37,22.35,10.46,15.68,14.79,11.66,13.54,17.94,-2.46,4.36,-0.82,5.03
EPS in Rs,11.69,16.99,19.61,9.18,13.76,12.97,10.23,11.88,15.74,-2.16,3.82,-0.72,4.17
Raw PDF,,,,,,,,,,,,,
