,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,583,621,572,508,431,523,542,492,527,555,525,447,523
Expenses +,444,525,511,479,432,485,527,498,523,524,502,467,508
Operating Profit,138,97,61,29,-1,38,15,-6,4,31,24,-20,15
OPM %,24%,16%,11%,6%,-0%,7%,3%,-1%,1%,6%,4%,-5%,3%
Other Income +,3,3,6,11,11,5,6,4,4,3,9,0,8
Interest,6,6,7,11,7,10,10,12,10,9,10,14,15
Depreciation,15,13,13,14,16,16,16,15,17,14,13,16,18
Profit before tax,120,81,47,14,-13,17,-4,-29,-19,11,9,-50,-11
Tax %,25%,26%,27%,41%,0%,37%,47%,-20%,10%,53%,47%,-16%,28%
Net Profit +,90,60,34,8,-13,11,-6,-23,-20,5,5,-42,-14
EPS in Rs,8.80,5.86,3.35,0.81,-1.25,1.04,-0.59,-2.24,-2.00,0.50,0.48,-4.10,-1.37
Raw PDF,,,,,,,,,,,,,
