,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,980,833,"1,095","1,256","1,292","1,738","2,135","1,129","1,079","1,718","2,325","2,427","2,273"
Expenses +,895,785,"1,001","1,092","1,091","1,499","1,856","1,013",945,"1,491","2,063","2,097","1,966"
Operating Profit,86,49,95,164,201,239,279,116,134,227,262,329,307
OPM %,9%,6%,9%,13%,16%,14%,13%,10%,12%,13%,11%,14%,14%
Other Income +,2,18,2,7,6,9,11,15,10,5,12,3,4
Interest,27,24,18,20,14,20,28,18,7,4,3,5,3
Depreciation,29,26,31,45,48,41,46,41,36,37,41,44,46
Profit before tax,32,17,47,105,145,186,216,72,101,191,229,283,261
Tax %,14%,17%,38%,32%,28%,33%,36%,33%,28%,26%,27%,27%,
Net Profit +,28,14,29,72,105,125,137,48,73,141,168,205,185
EPS in Rs,0.70,0.35,0.74,1.80,2.63,3.14,3.45,1.20,1.83,3.53,4.22,5.15,4.63
Dividend Payout %,28%,29%,30%,31%,27%,27%,28%,33%,41%,42%,45%,43%,
