,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,81,94,94,93,60,63,81,85,74,82,91,98,86
Expenses +,81,96,92,86,71,70,80,78,74,84,92,91,88
Operating Profit,0,-2,2,7,-11,-8,1,7,0,-1,-1,7,-1
OPM %,0%,-2%,3%,7%,-18%,-13%,2%,8%,1%,-1%,-1%,7%,-2%
Other Income +,62,1,10,11,12,15,15,16,18,17,21,17,24
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,4,4,4,4,4,4,5,5,6,6,6,6
Profit before tax,57,-5,8,14,-3,3,11,18,13,10,14,17,17
Tax %,-21%,-16%,19%,-16%,202%,22%,6%,18%,11%,15%,13%,19%,17%
Net Profit +,68,-5,7,16,-9,2,11,15,11,8,12,14,14
EPS in Rs,5.03,-0.48,0.35,1.06,-0.70,0.16,0.79,1.06,0.83,0.57,0.87,0.99,0.97
Raw PDF,,,,,,,,,,,,,
