,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,712","3,776","4,459","4,280","4,108","4,087","4,524","4,337","4,162","4,333","4,761","4,685","4,519"
Expenses +,"3,313","3,654","4,056","3,756","3,431","3,748","3,737","3,538","3,399","3,598","4,037","3,811","3,717"
Operating Profit,399,121,403,524,678,339,787,799,763,736,724,873,802
OPM %,11%,3%,9%,12%,16%,8%,17%,18%,18%,17%,15%,19%,18%
Other Income +,85,150,118,483,"-1,532",97,66,269,105,29,187,81,109
Interest,63,89,112,110,113,127,155,53,29,31,37,51,39
Depreciation,54,55,55,61,69,74,75,81,84,77,80,86,84
Profit before tax,367,128,353,836,"-1,037",235,624,934,756,656,794,818,788
Tax %,63%,100%,49%,26%,29%,71%,34%,22%,27%,28%,35%,23%,26%
Net Profit +,134,0,181,618,"-1,334",68,412,731,549,472,516,627,585
EPS in Rs,-7.43,-23.62,-8.63,22.60,-230.58,-22.38,17.49,65.46,40.73,31.86,36.22,48.58,44.24
Raw PDF,,,,,,,,,,,,,
