,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,681.44,783.38,817.14,879.29,874.25,937.65,894.46,928.13,837.04,870.19,830.85,916.50,"1,240.56"
Expenses +,648.13,741.28,763.10,816.95,796.41,876.74,816.78,857.86,746.85,786.85,757.63,835.27,"1,162.41"
Operating Profit,33.31,42.10,54.04,62.34,77.84,60.91,77.68,70.27,90.19,83.34,73.22,81.23,78.15
OPM %,4.89%,5.37%,6.61%,7.09%,8.90%,6.50%,8.68%,7.57%,10.77%,9.58%,8.81%,8.86%,6.30%
Other Income +,27.01,7.86,18.32,16.68,39.71,-0.47,-6.25,-63.87,18.97,13.71,10.37,221.71,12.93
Interest,9.61,8.15,8.43,10.62,13.72,17.05,18.56,17.12,18.28,17.38,17.45,19.92,24.46
Depreciation,32.24,33.42,33.27,32.93,35.63,39.90,35.35,34.95,32.10,34.60,33.49,35.12,47.49
Profit before tax,18.47,8.39,30.66,35.47,68.20,3.49,17.52,-45.67,58.78,45.07,32.65,247.90,19.13
Tax %,42.83%,252.21%,32.81%,34.25%,24.56%,330.95%,30.94%,-211.82%,18.29%,14.78%,40.28%,25.21%,77.94%
Net Profit +,10.56,-12.77,20.60,23.32,51.45,-8.06,12.10,51.07,48.03,38.41,19.50,185.40,4.22
EPS in Rs,6.74,-13.10,14.04,14.08,28.69,-13.20,8.94,28.46,27.29,21.99,9.19,124.44,2.27
Raw PDF,,,,,,,,,,,,,
