,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,242,283,339,297,310,443,347,385,474,440,501,362,419
Expenses +,49,212,85,33,18,13,67,34,13,14,12,59,12
Operating Profit,193,71,255,263,292,430,280,351,461,426,488,303,407
OPM %,80%,25%,75%,89%,94%,97%,81%,91%,97%,97%,98%,84%,97%
Other Income +,0,-0,1,0,7,0,0,4,0,0,1,1,0
Interest,133,186,255,251,280,354,325,361,371,355,336,315,307
Depreciation,0,0,0,0,1,4,4,4,4,1,1,1,1
Profit before tax,59,-115,1,12,18,72,-49,-10,86,71,153,-12,99
Tax %,17%,-23%,"1,256%",47%,25%,19%,-16%,47%,21%,25%,25%,-13%,24%
Net Profit +,49,-89,-8,6,13,58,-41,-15,68,53,115,-10,75
EPS in Rs,2.72,-4.94,-0.44,0.34,0.75,3.21,-2.28,-0.86,3.78,2.97,6.37,-0.56,4.17
Raw PDF,,,,,,,,,,,,,
