,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,127,147,301,485,701,997,"1,148","1,149",636,896,"1,202",960,922
Expenses +,110,133,250,489,623,841,971,962,633,806,"1,076","1,144","1,136"
Operating Profit,17,14,51,-3,78,156,177,186,2,90,126,-185,-214
OPM %,13%,9%,17%,-1%,11%,16%,15%,16%,0%,10%,10%,-19%,-23%
Other Income +,0,0,1,1,0,6,8,21,49,35,16,13,12
Interest,0,0,5,3,2,1,1,38,36,37,52,71,73
Depreciation,3,3,6,9,13,17,22,103,92,94,121,125,122
Profit before tax,14,11,41,-14,62,145,162,66,-77,-7,-31,-368,-398
Tax %,34%,36%,36%,204%,75%,32%,19%,-5%,-27%,-21%,-44%,-21%,
Net Profit +,9,7,26,-42,16,98,131,69,-56,-6,-18,-289,-311
EPS in Rs,1.01,0.75,2.87,-4.53,1.42,17.39,21.44,11.29,-9.17,-0.93,-2.84,-45.58,-49.23
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
