,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,230.09,327.61,316.39,356.68,370.52,570.09,567.16,687.49,589.94,642.27,638.06,602.04,654.77
Expenses +,190.78,267.60,248.93,268.74,272.40,497.80,529.61,647.68,570.21,594.71,608.37,567.77,615.92
Operating Profit,39.31,60.01,67.46,87.94,98.12,72.29,37.55,39.81,19.73,47.56,29.69,34.27,38.85
OPM %,17.08%,18.32%,21.32%,24.66%,26.48%,12.68%,6.62%,5.79%,3.34%,7.40%,4.65%,5.69%,5.93%
Other Income +,0.87,3.42,0.95,1.31,1.08,1.88,3.54,2.87,5.24,1.80,2.02,2.23,3.66
Interest,5.09,4.91,4.75,4.09,3.93,6.28,7.37,6.83,6.11,8.54,9.43,14.21,13.04
Depreciation,9.56,9.96,10.05,11.09,10.34,16.07,16.24,16.74,16.56,19.52,20.19,21.13,20.77
Profit before tax,25.53,48.56,53.61,74.07,84.93,51.82,17.48,19.11,2.30,21.30,2.09,1.16,8.70
Tax %,26.83%,31.63%,28.58%,31.65%,34.45%,25.16%,25.29%,-130.87%,96.96%,28.03%,38.28%,64.66%,43.56%
Net Profit +,18.69,33.20,38.30,50.63,55.66,38.78,13.06,44.13,0.08,15.32,1.28,0.41,4.90
EPS in Rs,6.50,11.55,13.27,17.58,19.33,13.46,4.53,15.41,0.09,5.48,0.49,0.19,1.92
Raw PDF,,,,,,,,,,,,,
