,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,528","1,452","1,600","1,552","1,678","1,587","1,680","1,677","1,759","1,732","1,752","1,822","1,929"
Expenses +,"1,280","1,259","1,384","1,408","1,459","1,419","1,438","1,459","1,487","1,480","1,463","1,535","1,584"
Operating Profit,247,192,216,144,219,168,242,218,271,252,289,287,345
OPM %,16%,13%,14%,9%,13%,11%,14%,13%,15%,15%,17%,16%,18%
Other Income +,-2,11,-44,10,21,9,19,49,-151,410,8,-10,9
Interest,40,40,42,51,56,62,66,71,73,71,61,56,53
Depreciation,101,95,94,94,271,90,97,95,101,91,91,91,95
Profit before tax,106,69,36,9,-86,25,98,101,-54,500,144,130,206
Tax %,44%,32%,87%,285%,16%,76%,37%,34%,15%,4%,29%,23%,27%
Net Profit +,59,47,5,-16,-100,6,62,66,-62,482,102,101,151
EPS in Rs,3.74,2.96,0.34,-0.98,-6.15,0.40,3.92,4.19,-3.68,30.26,6.45,6.33,9.64
Raw PDF,,,,,,,,,,,,,
